id,sessionid,subjectid,info,score1,score2,score3,choice,b_to_1,b_to_2,b_to_3,b_to_4,female
102,6,102,1,18,20,26,1,30,40,25,5,0
103,6,103,1,25,20,30,0,10,40,40,10,1
104,6,104,1,18,14,19,1,50,50,0,0,0
105,6,105,1,27,26,29,1,70,30,0,0,1
106,6,106,1,32,33,41,1,100,0,0,0,0
107,6,107,1,16,18,26,1,20,40,20,20,1
108,6,108,1,20,24,29,1,45,40,15,0,0
109,6,109,1,17,19,21,1,40,40,20,0,1
110,6,110,1,15,14,18,0,15,30,40,15,0
111,6,111,1,7,7,9,0,0,0,30,70,1
112,6,112,1,17,17,15,0,60,40,0,0,1
113,6,113,1,17,15,20,0,30,40,25,5,1
114,6,114,1,20,18,16,0,25,40,20,15,1
115,6,115,1,22,23,26,0,50,40,7,3,1
116,6,116,1,16,15,18,0,65,20,15,0,1
117,7,117,1,19,21,25,0,0,33,33,34,0
118,7,118,1,11,11,14,0,2,4,44,50,1
119,7,119,1,24,24,29,1,70,30,0,0,0
120,7,120,1,21,20,23,0,7,9,36,48,1
121,7,121,1,17,15,17,1,60,40,0,0,1
122,7,122,1,13,14,16,1,60,40,0,0,0
123,7,123,1,11,9,15,0,25,25,25,25,1
124,7,124,1,19,12,21,1,50,50,0,0,0
125,7,125,1,25,18,24,0,76,11,3,10,1
126,7,126,1,10,18,19,0,50,50,0,0,0
127,7,127,1,9,11,15,0,20,20,30,30,1
128,7,128,1,21,15,23,1,25,25,25,25,0
129,7,129,1,19,16,20,0,45,45,10,0,1
130,7,130,1,7,6,10,1,0,50,25,25,0
131,7,131,1,11,15,18,0,20,60,15,5,1
132,7,132,1,18,18,22,1,100,0,0,0,0
133,8,133,0,22,24,23,1,75,25,0,0,0
134,8,134,0,19,20,26,0,20,30,30,20,1
135,8,135,0,17,15,18,1,60,30,10,0,0
136,8,136,0,14,8,11,0,40,20,20,20,1
137,8,137,0,19,18,23,1,57,27,16,0,0
138,8,138,0,13,10,12,0,12,38,38,12,1
139,8,139,0,24,20,28,1,25,35,30,10,0
140,8,140,0,26,27,32,1,5,75,20,0,1
141,8,141,0,19,14,22,1,60,25,10,5,0
142,8,142,0,3,4,8,0,2,5,30,63,1
143,8,143,0,23,19,25,1,50,30,20,0,0
144,8,144,0,8,19,20,1,60,20,10,10,
145,8,145,0,12,9,10,0,25,25,25,25,
146,8,146,0,12,15,22,1,38,37,20,5,1
147,8,147,0,14,21,22,0,50,50,0,0,1
148,8,148,0,14,16,20,1,25,50,25,0,1
