id,sessionid,scoringrule,treatment,subjectid,scenario_order,scenarioid,period,pur,p1r,p2r,urn,draw1,draw2,belief1,belief2,belief3,post1,post2,post3,crt,risk_switch_pe,risk_switch_ce,female,agree1,agree2,agree3
33,1,1,1,4,1,9,3,30,80,40,0,0,0,30,15,0,30,12,5,0,4,8,1,5,5,4
34,1,1,1,4,1,6,4,80,40,20,0,0,0,80,80,80,80,75,69,0,4,8,1,5,5,4
35,1,1,1,4,1,5,5,20,80,60,0,1,0,20,50,10,20,25,14,0,4,8,1,5,5,4
36,1,1,1,4,1,3,6,50,80,20,0,1,0,50,95,70,50,80,50,0,4,8,1,5,5,4
37,1,1,1,4,1,1,7,50,40,0,0,0,0,50,30,10,50,37,26,0,4,8,1,5,5,4
38,1,1,1,4,1,4,8,50,100,60,0,1,1,60,84,100,50,63,74,0,4,8,1,5,5,4
39,1,1,1,4,1,8,9,70,100,40,1,1,1,70,85,100,70,85,94,0,4,8,1,5,5,4
40,1,1,1,4,1,2,10,50,60,40,1,0,0,50,24,2,50,40,31,0,4,8,1,5,5,4
41,1,1,1,5,1,10,1,70,60,20,1,0,1,60,45,40,70,54,78,3,4,5,0,5,5,5
42,1,1,1,5,1,8,2,70,100,40,1,1,1,55,50,79,70,85,94,3,4,5,0,5,5,5
43,1,1,1,5,1,7,3,30,60,0,0,0,0,40,30,35,30,15,6,3,4,5,0,5,5,5
44,1,1,1,5,1,4,4,50,100,60,0,1,1,75,70,60,50,63,74,3,4,5,0,5,5,5
45,1,1,1,5,1,6,5,80,40,20,0,0,0,50,60,55,80,75,69,3,4,5,0,5,5,5
46,1,1,1,5,1,2,6,50,60,40,1,0,0,50,45,40,50,40,31,3,4,5,0,5,5,5
47,1,1,1,5,1,5,7,20,80,60,0,1,0,45,50,35,20,25,14,3,4,5,0,5,5,5
48,1,1,1,5,1,3,8,50,80,20,0,1,0,50,60,55,50,80,50,3,4,5,0,5,5,5
49,1,1,1,5,1,9,9,30,80,40,0,0,0,35,40,0,30,12,5,3,4,5,0,5,5,5
50,1,1,1,5,1,1,10,50,40,0,0,0,0,50,50,55,50,37,26,3,4,5,0,5,5,5
51,1,1,1,6,1,8,1,70,100,40,1,1,1,70,80,89,70,85,94,0,7,7,0,3,5,4
52,1,1,1,6,1,2,2,50,60,40,1,0,0,50,34,10,50,40,31,0,7,7,0,3,5,4
53,1,1,1,6,1,10,3,70,60,20,1,0,1,70,50,60,70,54,78,0,7,7,0,3,5,4
54,1,1,1,6,1,3,4,50,80,20,0,1,0,50,70,50,50,80,50,0,7,7,0,3,5,4
55,1,1,1,6,1,1,5,50,40,0,0,0,0,50,50,40,50,37,26,0,7,7,0,3,5,4
56,1,1,1,6,1,6,6,80,40,20,0,0,0,80,70,60,80,75,69,0,7,7,0,3,5,4
57,1,1,1,6,1,4,7,50,100,60,0,1,1,50,65,65,50,63,74,0,7,7,0,3,5,4
58,1,1,1,6,1,7,8,30,60,0,0,0,0,30,35,20,30,15,6,0,7,7,0,3,5,4
59,1,1,1,6,1,9,9,30,80,40,0,0,0,35,40,9,30,12,5,0,7,7,0,3,5,4
60,1,1,1,6,1,5,10,20,80,60,0,1,0,50,50,40,20,25,14,0,7,7,0,3,5,4
61,1,1,1,7,1,5,1,20,80,60,0,1,0,20,40,25,20,25,14,1,7,7,1,4,4,3
62,1,1,1,7,1,1,2,50,40,0,0,0,0,50,30,25,50,37,26,1,7,7,1,4,4,3
63,1,1,1,7,1,6,3,80,40,20,0,0,0,95,70,65,80,75,69,1,7,7,1,4,4,3
64,1,1,1,7,1,9,4,30,80,40,0,0,0,20,15,12,30,12,5,1,7,7,1,4,4,3
65,1,1,1,7,1,10,5,70,60,20,1,0,1,70,60,75,70,54,78,1,7,7,1,4,4,3
66,1,1,1,7,1,7,6,30,60,0,0,0,0,15,10,0,30,15,6,1,7,7,1,4,4,3
67,1,1,1,7,1,2,7,50,60,40,1,0,0,50,40,20,50,40,31,1,7,7,1,4,4,3
68,1,1,1,7,1,4,8,50,100,60,0,1,1,50,70,75,50,63,74,1,7,7,1,4,4,3
69,1,1,1,7,1,8,9,70,100,40,1,1,1,80,85,89,70,85,94,1,7,7,1,4,4,3
70,1,1,1,7,1,3,10,50,80,20,0,1,0,50,80,50,50,80,50,1,7,7,1,4,4,3
71,1,1,1,8,1,1,1,50,40,0,0,0,0,50,40,10,50,37,26,0,5,6,1,5,5,5
72,1,1,1,8,1,2,2,50,60,40,1,0,0,50,35,14,50,40,31,0,5,6,1,5,5,5
73,1,1,1,8,1,5,3,20,80,60,0,1,0,20,15,7,20,25,14,0,5,6,1,5,5,5
74,1,1,1,8,1,9,4,30,80,40,0,0,0,30,20,5,30,12,5,0,5,6,1,5,5,5
75,1,1,1,8,1,6,5,80,40,20,0,0,0,80,84,75,80,75,69,0,5,6,1,5,5,5
76,1,1,1,8,1,10,6,70,60,20,1,0,1,70,60,90,70,54,78,0,5,6,1,5,5,5
77,1,1,1,8,1,7,7,30,60,0,0,0,0,30,15,3,30,15,6,0,5,6,1,5,5,5
78,1,1,1,8,1,8,8,70,100,40,1,1,1,70,85,97,70,85,94,0,5,6,1,5,5,5
79,1,1,1,8,1,3,9,50,80,20,0,1,0,50,75,70,50,80,50,0,5,6,1,5,5,5
80,1,1,1,8,1,4,10,50,100,60,0,1,1,50,60,75,50,63,74,0,5,6,1,5,5,5
81,1,1,1,9,1,5,1,20,80,60,0,1,0,20,20,20,20,25,14,0,5,10,1,4,4,4
82,1,1,1,9,1,1,2,50,40,0,0,0,0,50,40,25,50,37,26,0,5,10,1,4,4,4
83,1,1,1,9,1,9,3,30,80,40,0,0,0,30,22,17,30,12,5,0,5,10,1,4,4,4
84,1,1,1,9,1,2,4,50,60,40,1,0,0,50,40,35,50,40,31,0,5,10,1,4,4,4
85,1,1,1,9,1,10,5,70,60,20,1,0,1,70,65,70,70,54,78,0,5,10,1,4,4,4
86,1,1,1,9,1,4,6,50,100,60,0,1,1,50,50,67,50,63,74,0,5,10,1,4,4,4
87,1,1,1,9,1,6,7,80,40,20,0,0,0,80,75,50,80,75,69,0,5,10,1,4,4,4
88,1,1,1,9,1,8,8,70,100,40,1,1,1,70,74,80,70,85,94,0,5,10,1,4,4,4
89,1,1,1,9,1,3,9,50,80,20,0,1,0,50,80,50,50,80,50,0,5,10,1,4,4,4
90,1,1,1,9,1,7,10,30,60,0,0,0,0,30,30,21,30,15,6,0,5,10,1,4,4,4
91,1,1,1,10,1,5,1,20,80,60,0,1,0,20,30,10,20,25,14,0,6,5,0,5,5,4
92,1,1,1,10,1,4,2,50,100,60,0,1,1,50,60,85,50,63,74,0,6,5,0,5,5,4
93,1,1,1,10,1,8,3,70,100,40,1,1,1,70,75,99,70,85,94,0,6,5,0,5,5,4
94,1,1,1,10,1,2,4,50,60,40,1,0,0,50,50,30,50,40,31,0,6,5,0,5,5,4
95,1,1,1,10,1,6,5,80,40,20,0,0,0,80,80,80,80,75,69,0,6,5,0,5,5,4
96,1,1,1,10,1,7,6,30,60,0,0,0,0,30,25,10,30,15,6,0,6,5,0,5,5,4
97,1,1,1,10,1,3,7,50,80,20,0,1,0,50,90,90,50,80,50,0,6,5,0,5,5,4
98,1,1,1,10,1,9,8,30,80,40,0,0,0,30,20,1,30,12,5,0,6,5,0,5,5,4
99,1,1,1,10,1,1,9,50,40,0,0,0,0,25,10,5,50,37,26,0,6,5,0,5,5,4
100,1,1,1,10,1,10,10,70,60,20,1,0,1,75,60,95,70,54,78,0,6,5,0,5,5,4
101,1,1,1,11,1,2,1,50,60,40,1,0,0,50,40,40,50,40,31,0,5,7,0,4,4,3
102,1,1,1,11,1,6,2,80,40,20,0,0,0,60,40,40,80,75,69,0,5,7,0,4,4,3
103,1,1,1,11,1,9,3,30,80,40,0,0,0,50,40,30,30,12,5,0,5,7,0,4,4,3
104,1,1,1,11,1,8,4,70,100,40,1,1,1,60,60,70,70,85,94,0,5,7,0,4,4,3
105,1,1,1,11,1,3,5,50,80,20,0,1,0,50,60,60,50,80,50,0,5,7,0,4,4,3
106,1,1,1,11,1,7,6,30,60,0,0,0,0,60,60,60,30,15,6,0,5,7,0,4,4,3
107,1,1,1,11,1,1,7,50,40,0,0,0,0,50,50,50,50,37,26,0,5,7,0,4,4,3
108,1,1,1,11,1,4,8,50,100,60,0,1,1,50,50,50,50,63,74,0,5,7,0,4,4,3
109,1,1,1,11,1,5,9,20,80,60,0,1,0,50,50,50,20,25,14,0,5,7,0,4,4,3
110,1,1,1,11,1,10,10,70,60,20,1,0,1,50,50,50,70,54,78,0,5,7,0,4,4,3
111,1,1,1,12,1,9,1,30,80,40,0,0,0,20,12,7,30,12,5,2,8,7,1,2,3,3
112,1,1,1,12,1,4,2,50,100,60,0,1,1,40,54,63,50,63,74,2,8,7,1,2,3,3
113,1,1,1,12,1,1,3,50,40,0,0,0,0,53,42,42,50,37,26,2,8,7,1,2,3,3
114,1,1,1,12,1,7,4,30,60,0,0,0,0,22,19,16,30,15,6,2,8,7,1,2,3,3
115,1,1,1,12,1,10,5,70,60,20,1,0,1,79,63,83,70,54,78,2,8,7,1,2,3,3
116,1,1,1,12,1,3,6,50,80,20,0,1,0,56,76,45,50,80,50,2,8,7,1,2,3,3
117,1,1,1,12,1,5,7,20,80,60,0,1,0,14,29,9,20,25,14,2,8,7,1,2,3,3
118,1,1,1,12,1,2,8,50,60,40,1,0,0,56,39,31,50,40,31,2,8,7,1,2,3,3
119,1,1,1,12,1,8,9,70,100,40,1,1,1,77,70,88,70,85,94,2,8,7,1,2,3,3
120,1,1,1,12,1,6,10,80,40,20,0,0,0,84,81,78,80,75,69,2,8,7,1,2,3,3
121,1,1,1,13,1,4,1,50,100,60,0,1,1,50,56,100,50,63,74,0,8,8,1,4,3,5
122,1,1,1,13,1,2,2,50,60,40,1,0,0,50,50,50,50,40,31,0,8,8,1,4,3,5
123,1,1,1,13,1,7,3,30,60,0,0,0,0,30,25,10,30,15,6,0,8,8,1,4,3,5
124,1,1,1,13,1,8,4,70,100,40,1,1,1,50,75,90,70,85,94,0,8,8,1,4,3,5
125,1,1,1,13,1,5,5,20,80,60,0,1,0,60,70,75,20,25,14,0,8,8,1,4,3,5
126,1,1,1,13,1,9,6,30,80,40,0,0,0,55,40,10,30,12,5,0,8,8,1,4,3,5
127,1,1,1,13,1,6,7,80,40,20,0,0,0,30,50,25,80,75,69,0,8,8,1,4,3,5
128,1,1,1,13,1,10,8,70,60,20,1,0,1,50,25,50,70,54,78,0,8,8,1,4,3,5
129,1,1,1,13,1,1,9,50,40,0,0,0,0,10,10,5,50,37,26,0,8,8,1,4,3,5
130,1,1,1,13,1,3,10,50,80,20,0,1,0,50,65,60,50,80,50,0,8,8,1,4,3,5
131,1,1,1,14,1,1,1,50,40,0,0,0,0,50,40,40,50,37,26,2,10,5,0,3,4,2
132,1,1,1,14,1,2,2,50,60,40,1,0,0,50,40,30,50,40,31,2,10,5,0,3,4,2
133,1,1,1,14,1,5,3,20,80,60,0,1,0,20,40,40,20,25,14,2,10,5,0,3,4,2
134,1,1,1,14,1,7,4,30,60,0,0,0,0,30,30,30,30,15,6,2,10,5,0,3,4,2
135,1,1,1,14,1,4,5,50,100,60,0,1,1,50,60,50,50,63,74,2,10,5,0,3,4,2
136,1,1,1,14,1,9,6,30,80,40,0,0,0,30,50,20,30,12,5,2,10,5,0,3,4,2
137,1,1,1,14,1,3,7,50,80,20,0,1,0,50,60,35,50,80,50,2,10,5,0,3,4,2
138,1,1,1,14,1,10,8,70,60,20,1,0,1,70,50,80,70,54,78,2,10,5,0,3,4,2
139,1,1,1,14,1,6,9,80,40,20,0,0,0,80,50,70,80,75,69,2,10,5,0,3,4,2
140,1,1,1,14,1,8,10,70,100,40,1,1,1,70,70,80,70,85,94,2,10,5,0,3,4,2
141,1,1,1,15,1,4,1,50,100,60,0,1,1,81,81,82,50,63,74,0,7,5,1,4,4,4
142,1,1,1,15,1,6,2,80,40,20,0,0,0,91,91,78,80,75,69,0,7,5,1,4,4,4
143,1,1,1,15,1,10,3,70,60,20,1,0,1,75,71,76,70,54,78,0,7,5,1,4,4,4
144,1,1,1,15,1,2,4,50,60,40,1,0,0,50,55,51,50,40,31,0,7,5,1,4,4,4
145,1,1,1,15,1,8,5,70,100,40,1,1,1,62,64,69,70,85,94,0,7,5,1,4,4,4
146,1,1,1,15,1,7,6,30,60,0,0,0,0,15,19,20,30,15,6,0,7,5,1,4,4,4
147,1,1,1,15,1,3,7,50,80,20,0,1,0,56,63,25,50,80,50,0,7,5,1,4,4,4
148,1,1,1,15,1,1,8,50,40,0,0,0,0,73,75,75,50,37,26,0,7,5,1,4,4,4
149,1,1,1,15,1,9,9,30,80,40,0,0,0,17,17,3,30,12,5,0,7,5,1,4,4,4
150,1,1,1,15,1,5,10,20,80,60,0,1,0,11,12,12,20,25,14,0,7,5,1,4,4,4
151,1,1,1,16,1,7,1,30,60,0,0,0,0,30,25,10,30,15,6,0,11,3,1,4,5,5
152,1,1,1,16,1,9,2,30,80,40,0,0,0,30,30,20,30,12,5,0,11,3,1,4,5,5
153,1,1,1,16,1,5,3,20,80,60,0,1,0,20,30,25,20,25,14,0,11,3,1,4,5,5
154,1,1,1,16,1,6,4,80,40,20,0,0,0,80,70,75,80,75,69,0,11,3,1,4,5,5
155,1,1,1,16,1,4,5,50,100,60,0,1,1,50,70,80,50,63,74,0,11,3,1,4,5,5
156,1,1,1,16,1,10,6,70,60,20,1,0,1,70,50,80,70,54,78,0,11,3,1,4,5,5
157,1,1,1,16,1,8,7,70,100,40,1,1,1,70,85,90,70,85,94,0,11,3,1,4,5,5
158,1,1,1,16,1,3,8,50,80,20,0,1,0,50,80,71,50,80,50,0,11,3,1,4,5,5
159,1,1,1,16,1,2,9,50,60,40,1,0,0,50,29,20,50,40,31,0,11,3,1,4,5,5
160,1,1,1,16,1,1,10,50,40,0,0,0,0,50,20,10,50,37,26,0,11,3,1,4,5,5
161,1,1,1,17,1,5,1,20,80,60,0,1,0,10,20,14,20,25,14,0,10,10,1,4,4,3
162,1,1,1,17,1,2,2,50,60,40,1,0,0,50,40,35,50,40,31,0,10,10,1,4,4,3
163,1,1,1,17,1,9,3,30,80,40,0,0,0,30,19,34,30,12,5,0,10,10,1,4,4,3
164,1,1,1,17,1,1,4,50,40,0,0,0,0,50,50,50,50,37,26,0,10,10,1,4,4,3
165,1,1,1,17,1,6,5,80,40,20,0,0,0,80,80,60,80,75,69,0,10,10,1,4,4,3
166,1,1,1,17,1,4,6,50,100,60,0,1,1,50,70,75,50,63,74,0,10,10,1,4,4,3
167,1,1,1,17,1,3,7,50,80,20,0,1,0,50,50,45,50,80,50,0,10,10,1,4,4,3
168,1,1,1,17,1,10,8,70,60,20,1,0,1,70,67,67,70,54,78,0,10,10,1,4,4,3
169,1,1,1,17,1,7,9,30,60,0,0,0,0,28,30,35,30,15,6,0,10,10,1,4,4,3
170,1,1,1,17,1,8,10,70,100,40,1,1,1,70,72,68,70,85,94,0,10,10,1,4,4,3
171,1,1,1,18,1,9,1,30,80,40,0,0,0,30,25,25,30,12,5,1,4,4,0,4,3,4
172,1,1,1,18,1,4,2,50,100,60,0,1,1,50,60,80,50,63,74,1,4,4,0,4,3,4
173,1,1,1,18,1,2,3,50,60,40,1,0,0,50,45,40,50,40,31,1,4,4,0,4,3,4
174,1,1,1,18,1,1,4,50,40,0,0,0,0,50,48,47,50,37,26,1,4,4,0,4,3,4
175,1,1,1,18,1,6,5,80,40,20,0,0,0,80,77,70,80,75,69,1,4,4,0,4,3,4
176,1,1,1,18,1,5,6,20,80,60,0,1,0,20,30,16,20,25,14,1,4,4,0,4,3,4
177,1,1,1,18,1,10,7,70,60,20,1,0,1,70,60,75,70,54,78,1,4,4,0,4,3,4
178,1,1,1,18,1,8,8,70,100,40,1,1,1,70,75,85,70,85,94,1,4,4,0,4,3,4
179,1,1,1,18,1,7,9,30,60,0,0,0,0,25,20,9,30,15,6,1,4,4,0,4,3,4
180,1,1,1,18,1,3,10,50,80,20,0,1,0,50,75,50,50,80,50,1,4,4,0,4,3,4
181,1,1,1,19,1,10,1,70,60,20,1,0,1,30,50,15,70,54,78,0,4,8,0,4,5,5
182,1,1,1,19,1,2,2,50,60,40,1,0,0,50,40,25,50,40,31,0,4,8,0,4,5,5
183,1,1,1,19,1,6,3,80,40,20,0,0,0,80,85,10,80,75,69,0,4,8,0,4,5,5
184,1,1,1,19,1,5,4,20,80,60,0,1,0,20,25,20,20,25,14,0,4,8,0,4,5,5
185,1,1,1,19,1,1,5,50,40,0,0,0,0,50,10,10,50,37,26,0,4,8,0,4,5,5
186,1,1,1,19,1,3,6,50,80,20,0,1,0,50,80,25,50,80,50,0,4,8,0,4,5,5
187,1,1,1,19,1,7,7,30,60,0,0,0,0,30,15,10,30,15,6,0,4,8,0,4,5,5
188,1,1,1,19,1,9,8,30,80,40,0,0,0,30,20,10,30,12,5,0,4,8,0,4,5,5
189,1,1,1,19,1,8,9,70,100,40,1,1,1,70,69,85,70,85,94,0,4,8,0,4,5,5
190,1,1,1,19,1,4,10,50,100,60,0,1,1,50,64,70,50,63,74,0,4,8,0,4,5,5
191,1,1,1,20,1,2,1,50,60,40,1,0,0,50,35,10,50,40,31,2,7,7,0,5,5,5
192,1,1,1,20,1,4,2,50,100,60,0,1,1,50,50,50,50,63,74,2,7,7,0,5,5,5
193,1,1,1,20,1,7,3,30,60,0,0,0,0,30,30,10,30,15,6,2,7,7,0,5,5,5
194,1,1,1,20,1,9,4,30,80,40,0,0,0,30,20,0,30,12,5,2,7,7,0,5,5,5
195,1,1,1,20,1,8,5,70,100,40,1,1,1,70,75,86,70,85,94,2,7,7,0,5,5,5
196,1,1,1,20,1,5,6,20,80,60,0,1,0,20,50,10,20,25,14,2,7,7,0,5,5,5
197,1,1,1,20,1,10,7,70,60,20,1,0,1,70,70,82,70,54,78,2,7,7,0,5,5,5
198,1,1,1,20,1,3,8,50,80,20,0,1,0,50,80,50,50,80,50,2,7,7,0,5,5,5
199,1,1,1,20,1,6,9,80,40,20,0,0,0,80,80,80,80,75,69,2,7,7,0,5,5,5
200,1,1,1,20,1,1,10,50,40,0,0,0,0,50,50,40,50,37,26,2,7,7,0,5,5,5
201,4,1,1,61,2,9,1,30,80,40,1,1,0,70,64,35,30,46,22,0,5,6,0,4,4,4
202,4,1,1,61,2,7,2,30,60,0,0,0,0,33,69,19,30,15,6,0,5,6,0,4,4,4
203,4,1,1,61,2,5,3,20,80,60,1,1,1,20,53,55,20,25,31,0,5,6,0,4,4,4
204,4,1,1,61,2,8,4,70,100,40,1,1,1,70,66,65,70,85,94,0,5,6,0,4,4,4
205,4,1,1,61,2,10,5,70,60,20,1,0,1,70,34,43,70,54,78,0,5,6,0,4,4,4
206,4,1,1,61,2,2,6,50,60,40,1,0,0,50,45,30,50,40,31,0,5,6,0,4,4,4
207,4,1,1,61,2,3,7,50,80,20,0,0,0,50,30,30,50,20,6,0,5,6,0,4,4,4
208,4,1,1,61,2,6,8,80,40,20,0,0,0,80,41,38,80,75,69,0,5,6,0,4,4,4
209,4,1,1,61,2,1,9,50,40,0,1,1,0,50,100,23,50,100,100,0,5,6,0,4,4,4
210,4,1,1,61,2,4,10,50,100,60,0,0,0,50,0,0,50,0,0,0,5,6,0,4,4,4
211,4,1,1,62,2,8,1,70,100,40,1,1,1,79,85,90,70,85,94,0,6,5,1,5,5,4
212,4,1,1,62,2,5,2,20,80,60,1,1,1,20,25,30,20,25,31,0,6,5,1,5,5,4
213,4,1,1,62,2,9,3,30,80,40,1,1,0,30,45,20,30,46,22,0,6,5,1,5,5,4
214,4,1,1,62,2,6,4,80,40,20,0,0,0,80,75,50,80,75,69,0,6,5,1,5,5,4
215,4,1,1,62,2,1,5,50,40,0,1,1,0,50,100,100,50,100,100,0,6,5,1,5,5,4
216,4,1,1,62,2,3,6,50,80,20,0,0,0,50,10,5,50,20,6,0,6,5,1,5,5,4
217,4,1,1,62,2,4,7,50,100,60,0,0,0,50,0,0,50,0,0,0,6,5,1,5,5,4
218,4,1,1,62,2,7,8,30,60,0,0,0,0,30,20,10,30,15,6,0,6,5,1,5,5,4
219,4,1,1,62,2,2,9,50,60,40,1,0,0,50,35,25,50,40,31,0,6,5,1,5,5,4
220,4,1,1,62,2,10,10,70,60,20,1,0,1,70,65,80,70,54,78,0,6,5,1,5,5,4
221,4,1,1,63,2,2,1,50,60,40,1,0,0,55,58,48,50,40,31,0,0,5,1,5,4,3
222,4,1,1,63,2,10,2,70,60,20,1,0,1,80,79,83,70,54,78,0,0,5,1,5,4,3
223,4,1,1,63,2,3,3,50,80,20,0,0,0,55,51,27,50,20,6,0,0,5,1,5,4,3
224,4,1,1,63,2,1,4,50,40,0,1,1,0,45,100,100,50,100,100,0,0,5,1,5,4,3
225,4,1,1,63,2,6,5,80,40,20,0,0,0,90,60,49,80,75,69,0,0,5,1,5,4,3
226,4,1,1,63,2,5,6,20,80,60,1,1,1,20,40,60,20,25,31,0,0,5,1,5,4,3
227,4,1,1,63,2,4,7,50,100,60,0,0,0,51,0,0,50,0,0,0,0,5,1,5,4,3
228,4,1,1,63,2,8,8,70,100,40,1,1,1,81,79,97,70,85,94,0,0,5,1,5,4,3
229,4,1,1,63,2,7,9,30,60,0,0,0,0,43,42,8,30,15,6,0,0,5,1,5,4,3
230,4,1,1,63,2,9,10,30,80,40,1,1,0,32,70,40,30,46,22,0,0,5,1,5,4,3
231,4,1,1,64,2,3,1,50,80,20,0,0,0,50,20,0,50,20,6,1,1,10,0,2,3,5
232,4,1,1,64,2,10,2,70,60,20,1,0,1,89,80,99,70,54,78,1,1,10,0,2,3,5
233,4,1,1,64,2,6,3,80,40,20,0,0,0,79,80,39,80,75,69,1,1,10,0,2,3,5
234,4,1,1,64,2,4,4,50,100,60,0,0,0,50,0,0,50,0,0,1,1,10,0,2,3,5
235,4,1,1,64,2,9,5,30,80,40,1,1,0,30,33,5,30,46,22,1,1,10,0,2,3,5
236,4,1,1,64,2,8,6,70,100,40,1,1,1,70,80,100,70,85,94,1,1,10,0,2,3,5
237,4,1,1,64,2,5,7,20,80,60,1,1,1,20,24,30,20,25,31,1,1,10,0,2,3,5
238,4,1,1,64,2,2,8,50,60,40,1,0,0,50,30,0,50,40,31,1,1,10,0,2,3,5
239,4,1,1,64,2,7,9,30,60,0,0,0,0,30,15,0,30,15,6,1,1,10,0,2,3,5
240,4,1,1,64,2,1,10,50,40,0,1,1,0,50,100,100,50,100,100,1,1,10,0,2,3,5
241,4,1,1,65,2,9,1,30,80,40,1,1,0,40,29,25,30,46,22,1,10,8,1,5,5,4
242,4,1,1,65,2,1,2,50,40,0,1,1,0,28,83,96,50,100,100,1,10,8,1,5,5,4
243,4,1,1,65,2,6,3,80,40,20,0,0,0,68,74,82,80,75,69,1,10,8,1,5,5,4
244,4,1,1,65,2,4,4,50,100,60,0,0,0,64,4,0,50,0,0,1,10,8,1,5,5,4
245,4,1,1,65,2,10,5,70,60,20,1,0,1,69,30,26,70,54,78,1,10,8,1,5,5,4
246,4,1,1,65,2,8,6,70,100,40,1,1,1,62,65,65,70,85,94,1,10,8,1,5,5,4
247,4,1,1,65,2,7,7,30,60,0,0,0,0,28,28,11,30,15,6,1,10,8,1,5,5,4
248,4,1,1,65,2,5,8,20,80,60,1,1,1,27,24,23,20,25,31,1,10,8,1,5,5,4
249,4,1,1,65,2,2,9,50,60,40,1,0,0,54,32,30,50,40,31,1,10,8,1,5,5,4
250,4,1,1,65,2,3,10,50,80,20,0,0,0,19,19,14,50,20,6,1,10,8,1,5,5,4
251,4,1,1,66,2,6,1,80,40,20,0,0,0,100,100,100,80,75,69,3,5,5,0,4,5,4
252,4,1,1,66,2,10,2,70,60,20,1,0,1,100,90,100,70,54,78,3,5,5,0,4,5,4
253,4,1,1,66,2,1,3,50,40,0,1,1,0,50,100,100,50,100,100,3,5,5,0,4,5,4
254,4,1,1,66,2,9,4,30,80,40,1,1,0,20,30,5,30,46,22,3,5,5,0,4,5,4
255,4,1,1,66,2,7,5,30,60,0,0,0,0,30,30,0,30,15,6,3,5,5,0,4,5,4
